Filename,Format,Codec Id,CodecIDInfo,Format Profile,Format Info,Duration,File Size
Asuka Rin - BIBIVR092(KMVR788).mp4,AVC,avc1,Advanced Video Coding,High@L5.2,Advanced Video Codec,570180,1957471511
Fukada Yuuri(Asada Yuuri) - BIBIVR092(VRKM068).mp4,AVC,avc1,Advanced Video Coding,High@L5.2,Advanced Video Codec,522053,1768001372
Hinata Yura(Hirose Mitsuki) - BIBIVR092 (BIBIVR045).mp4,AVC,avc1,Advanced Video Coding,High@L5.2,Advanced Video Codec,510589,1792914235
Kano Yura - SIVR298_merged.mp4,HEVC,hvc1,High Efficiency Video Coding,Main@L6.1@Main,High Efficiency Video Coding,1492860,3061374923
Matsumoto Ichika - BIBIVR092(CBIKMV082).mp4,AVC,avc1,Advanced Video Coding,High@L5.2,Advanced Video Codec,309037,1085201231
Matsumoto Rio - MDVR293.mp4,AVC,avc1,Advanced Video Coding,High@L5.2,Advanced Video Codec,1108808,4117475587
Miyazawa Chiharu - DSVR857_merged.mp4,VP9,vp09,,,,1331926,2889346027
Satsuki Ena -AJVR-162_merged.mp4,VP9,vp09,,,,1755931,7067202063
Shino Megumi(Aoi Shino) - ROYVR006_merged.mp4,VP9,vp09,,,,1367887,2843756589
VRFormatReport.sh,,,,,,,1450
Yanai Hina(Yanai Meru) - BIBIVR092 (CBIKMV111).mp4,AVC,avc1,Advanced Video Coding,High@L5.2,Advanced Video Codec,463129,1554507664
Yumemi Shouuta - BIBIVR092 (SAVR070).mp4,AVC,avc1,Advanced Video Coding,High@L5.2,Advanced Video Codec,593333,1742129698
desktop.ini,,,,,,,46
video_info.csv,,,,,,,1343
